pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
glorious	inglorious	a	glorious%3:00:00::	inglorious%3:00:00::	having or deserving or conferring glory	not bringing honor and glory	_	_	_	_	_	_	no	affixal	in-	_	direct	_
gloved	gloveless	a	gloved%3:00:00::	gloveless%3:00:00::	having the hands covered with gloves	devoid of gloves	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
gnostic	agnostic	a	gnostic%3:00:00::	agnostic%3:00:00::	possessing intellectual or esoteric knowledge of spiritual things	uncertain of all claims to knowledge	no	affixal	a-	_	direct	_	_	_	_	_	_	_
go	no-go	a	go%3:00:00::	no-go%3:00:00::	functioning correctly and ready for action	not functioning properly or in suitable condition for proceeding	no	affixal	no-	_	direct	_	_	_	_	_	_	_
good-natured	ill-natured	a	good-natured%3:00:00::	ill-natured%3:00:00::	having an easygoing and cheerful disposition	having an irritable and unpleasant disposition	_	_	_	_	_	_	no	affixal	ill-	_	indirect	WRO
graceful	awkward	a	graceful%3:00:00::	awkward%3:00:00::	characterized by beauty of movement, style, form, or execution	lacking grace or skill in manner or movement or performance	_	_	_	_	_	_	no	non-affixal	_	_	_	_
gracious	ungracious	a	gracious%3:00:00::	ungracious%3:00:00::	characterized by charm, good taste, and generosity of spirit	lacking charm and good taste	_	_	_	_	_	_	no	affixal	un-	_	direct	_
gradual	steep	a	gradual%3:00:02::	steep%3:00:00::	(of a topographical gradient) not steep or abrupt	having a sharp inclination	no	non-affixal	_	_	_	_	_	_	_	_	_	_
gradual	sudden	a	gradual%3:00:01::	sudden%3:00:00::	proceeding in small stages	happening without warning or in a short space of time	no	non-affixal	_	_	_	_	_	_	_	_	_	_
grammatical	ungrammatical	a	grammatical%3:00:00::	ungrammatical%3:00:00::	conforming to the rules of grammar or usage accepted by native speakers	not grammatical; not conforming to the rules of grammar or accepted usage	_	_	_	_	_	_	no	affixal	un-	_	direct	_
grassy	grassless	a	grassy%3:00:00::	grassless%3:00:00::	abounding in grass	lacking grass	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
grateful	ungrateful	a	grateful%3:00:00::	ungrateful%3:00:00::	feeling or showing gratitude	not feeling or showing gratitude	_	_	_	_	_	_	no	affixal	un-	_	direct	_
greater	lesser	a	greater%3:00:00::	lesser%3:00:00::	greater in size or importance or degree	of less size or importance	_	_	_	_	_	_	no	non-affixal	_	_	_	_
gregarious	ungregarious	a	gregarious%3:00:01::	ungregarious%3:00:01::	(of plants) growing in groups that are close together	(of plants) growing together in groups that are not close together	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
groomed	ungroomed	a	groomed%3:00:00::	ungroomed%3:00:00::	neat and smart in appearance; well cared for	not neat and smart in appearance	_	_	_	_	_	_	no	affixal	un-	_	direct	_
guided	unguided	a	guided%3:00:00::	unguided%3:00:00::	subject to guidance or control especially after launching	not subject to guidance or control after launching	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
gusseted	ungusseted	a	gusseted%3:00:00::	ungusseted%3:00:00::	provided or reinforced with gussets	not having gussets	_	_	_	_	_	_	no	affixal	un-	_	direct	_
gutsy	gutless	a	gutsy%3:00:00::	gutless%3:00:00::	"marked by courage and determination in the face of difficulties or danger; robust and uninhibited; it was a gutsy thing to do"""	lacking courage or vitality	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
hairless	hairy	a	hairless%3:00:00::	hairy%3:00:00::	having no hair or fur	having or covered with hair	_	_	_	_	_	_	no	non-affixal	_	_	_	_
handed	handless	a	handed%3:00:00::	handless%3:00:00::	having or involving the use of hands	without a hand or hands	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
handled	handleless	a	handled%3:00:00::	handleless%3:00:00::	having a usually specified type of handle	having no handle	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
handmade	machine-made	a	handmade%3:00:00::	machine-made%3:00:00::	made by hand or a hand process	made by machine	no	non-affixal	_	_	_	_	_	_	_	_	_	_
haploid	diploid	a	haploid%3:00:00::	diploid%3:00:00::	of a cell or organism having a single set of chromosomes	of a cell or organism having two sets of chromosomes or twice the haploid number	_	_	_	_	_	_	no	non-affixal	_	_	_	_
haploid	polyploid	a	haploid%3:00:00::	polyploid%3:00:00::	of a cell or organism having a single set of chromosomes	of a cell or organism having more than twice the haploid number of chromosomes	_	_	_	_	_	_	no	non-affixal	_	_	_	_
happy	unhappy	a	happy%3:00:00::	unhappy%3:00:00::	enjoying or showing or marked by joy or pleasure	experiencing or marked by or causing sadness or sorrow or discontent	no	affixal	un-	_	direct	_	_	_	_	_	_	_
hard	soft	a	hard%3:00:05::	soft%3:00:05::	(of light) transmitted directly from a pointed light source	(of light) transmitted from a broad light source or reflected	no	non-affixal	_	_	_	_	_	_	_	_	_	_
hardened	soft	a	hardened%3:00:06::	soft%3:00:06::	protected against attack (especially by nuclear weapons)	not protected against attack (especially by nuclear weapons)	_	_	_	_	_	_	no	non-affixal	_	_	_	_
hardhearted	softhearted	a	hardhearted%3:00:00::	softhearted%3:00:00::	lacking in feeling or pity or warmth	easily moved to pity or sorrow	no	non-affixal	_	_	_	_	_	_	_	_	_	_
harmless	harmful	a	harmless%3:00:00::	harmful%3:00:00::	not causing or capable of causing harm	causing or capable of causing harm	yes	affixal	-less	-ful	indirect	LAC	_	_	_	_	_	_
harmonic	nonharmonic	a	harmonic%3:01:00::	nonharmonic%3:01:00::	of or relating to harmony as distinct from melody and rhythm	not harmonic	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
harmonious	inharmonious	a	harmonious%3:00:00::	inharmonious%3:00:00::	musically pleasing	not in harmony	no	affixal	in-	_	direct	_	_	_	_	_	_	_
hatted	hatless	a	hatted%3:00:00::	hatless%3:00:00::	wearing a hat or a hat of a particular kind	not wearing a hat	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
headed	headless	a	headed%3:00:01::	headless%3:00:00::	having a head of a specified kind or anything that serves as a head; often used in combination	not having a head or formed without a head	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
headed	unheaded	a	headed%3:00:02::	unheaded%3:00:00::	having a heading or caption	not having a heading or caption	_	_	_	_	_	_	no	affixal	un-	_	direct	_
healthful	unhealthful	a	healthful%3:00:00::	unhealthful%3:00:00::	conducive to good health of body or mind	detrimental to good health	_	_	_	_	_	_	no	affixal	un-	_	direct	_
healthy	unhealthy	a	healthy%3:00:00::	unhealthy%3:00:00::	having or indicating good health in body or mind; free from infirmity or disease	not in or exhibiting good health in body or mind	_	_	_	_	_	_	no	affixal	un-	_	direct	_
heavenly	earthly	a	heavenly%3:00:00::	earthly%3:00:00::	of or belonging to heaven or god	of or belonging to or characteristic of this earth as distinguished from heaven	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
heavy	light	a	heavy%3:00:04::	light%3:00:04::	of the military or industry; using (or being) the heaviest and most powerful armaments or weapons or equipment	of the military or industry; using (or being) relatively small or light arms or equipment	_	_	_	_	_	_	no	non-affixal	_	_	_	_
heedless	heedful	a	heedless%3:00:00::	heedful%3:00:00::	"marked by or paying little heed or attention; we know now that it is bad economics""--Franklin D. Roosevelt"	taking heed; giving close and thoughtful attention	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
helpful	unhelpful	a	helpful%3:00:00::	unhelpful%3:00:00::	providing assistance or serving a useful function	providing no assistance	no	affixal	un-	_	direct	_	_	_	_	_	_	_
herbivorous	insectivorous	a	herbivorous%3:00:00::	insectivorous%3:00:00::	feeding only on plants	(of animals and plants) feeding on insects	no	non-affixal	_	_	_	_	_	_	_	_	_	_
herbivorous	omnivorous	a	herbivorous%3:00:00::	omnivorous%3:00:00::	feeding only on plants	feeding on both plants and animals	no	non-affixal	_	_	_	_	_	_	_	_	_	_
heterodactyl	zygodactyl	a	heterodactyl%3:00:00::	zygodactyl%3:00:00::	(of bird feet) having the first and second toes directed backward the third and fourth forward	(of bird feet) having the first and fourth toes directed backward the second and third forward	no	non-affixal	_	_	_	_	_	_	_	_	_	_
heterogeneous	homogeneous	a	heterogeneous%3:00:00::	homogeneous%3:00:00::	consisting of elements that are not of the same kind or nature	all of the same or similar kind or nature	_	_	_	_	_	_	no	non-affixal	_	_	_	_
heterologous	analogous	a	heterologous%3:00:02::	analogous%3:00:00::	not corresponding in structure or evolutionary origin	corresponding in function but not in evolutionary origin	no	non-affixal	_	_	_	_	_	_	_	_	_	_
heterologous	autologous	a	heterologous%3:00:01::	autologous%3:00:00::	derived from organisms of a different but related species	derived from organisms of the selfsame individual	_	_	_	_	_	_	no	non-affixal	_	_	_	_
heterosexual	bisexual	a	heterosexual%3:00:00::	bisexual%3:00:00::	sexually attracted to members of the opposite sex	sexually attracted to both sexes	_	_	_	_	_	_	no	non-affixal	_	_	_	_
heterosexual	homosexual	a	heterosexual%3:00:00::	homosexual%3:00:00::	sexually attracted to members of the opposite sex	sexually attracted to members of your own sex	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
hierarchical	nonhierarchical	a	hierarchical%3:00:00::	nonhierarchical%3:00:00::	classified according to various criteria into successive levels or layers	not classified hierarchically	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
high-resolution	low-resolution	a	high-resolution%3:00:00::	low-resolution%3:00:00::	producing images that are sharp and finely detailed	of computer output devices; producing images that are not sharply defined	_	_	_	_	_	_	no	non-affixal	_	_	_	_
high-rise	low-rise	a	high-rise%3:00:00::	low-rise%3:00:00::	used of buildings of many stories equipped with elevators; tall	used of buildings of one or only a few stories and usually no elevator; low	_	_	_	_	_	_	no	non-affixal	_	_	_	_
high-tech	low-tech	a	high-tech%3:00:00::	low-tech%3:00:00::	resembling or making use of highly advanced technology or devices	not involving high technology	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
high-tension	low-tension	a	high-tension%3:00:00::	low-tension%3:00:00::	subjected to or capable of operating under relatively high voltage	subjected to or capable of operating under relative low voltage	_	_	_	_	_	_	no	non-affixal	_	_	_	_
hipped	hipless	a	hipped%3:00:00::	hipless%3:00:00::	having hips; or having hips as specified (usually in combination)	having or seeming to have no hips	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
historical	ahistorical	a	historical%3:01:00::	ahistorical%3:01:00::	of or relating to the study of history	unconcerned with or unrelated to history or to historical development or to tradition	_	_	_	_	_	_	no	affixal	a-	_	direct	_
holistic	atomistic	a	holistic%3:00:00::	atomistic%3:00:00::	emphasizing the organic or functional relation between parts and the whole	divided into separate and often disparate elements	_	_	_	_	_	_	no	affixal	a-	_	direct	_
holozoic	holophytic	a	holozoic%3:00:00::	holophytic%3:00:00::	obtaining nourishment as animals do by ingesting complex organic matter	obtaining nourishment as green plants do	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
holy	unholy	a	holy%3:00:00::	unholy%3:00:00::	belonging to or derived from or associated with a divine power	not hallowed or consecrated	_	_	_	_	_	_	no	affixal	un-	_	direct	_
home	away	a	home%3:00:00::	away%3:00:00::	used of your own ground	used of an opponent's ground	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
homemade	factory-made	a	homemade%3:00:00::	factory-made%3:00:00::	made or produced in the home or by yourself	produced in quantity at a factory	_	_	_	_	_	_	no	non-affixal	_	_	_	_
homeopathic	allopathic	a	homeopathic%3:01:00::	allopathic%3:01:00::	of or relating to the practice of homeopathy	of or relating to the practice of allopathy	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
homocercal	heterocercal	a	homocercal%3:00:00::	heterocercal%3:00:00::	possessing a symmetrical tail that extends beyond the end of the vertebral column (as in most bony fishes)	possessing a tail with the upper lobe larger than the lower and with the vertebral column prolonged into the upper lobe	no	non-affixal	_	_	_	_	_	_	_	_	_	_
homologous	analogous	a	homologous%3:00:02::	analogous%3:00:00::	having the same evolutionary origin but not necessarily the same function	corresponding in function but not in evolutionary origin	no	non-affixal	_	_	_	_	_	_	_	_	_	_
homologous	autologous	a	homologous%3:00:01::	autologous%3:00:00::	corresponding or similar in position or structure or function or characteristics; especially derived from an organism of the same species	derived from organisms of the selfsame individual	no	non-affixal	_	_	_	_	_	_	_	_	_	_
homologous	heterologous	a	homologous%3:00:02::	heterologous%3:00:02::	having the same evolutionary origin but not necessarily the same function	not corresponding in structure or evolutionary origin	_	_	_	_	_	_	no	non-affixal	_	_	_	_
homosexual	bisexual	a	homosexual%3:00:00::	bisexual%3:00:00::	sexually attracted to members of your own sex	sexually attracted to both sexes	_	_	_	_	_	_	no	non-affixal	_	_	_	_
homozygous	heterozygous	a	homozygous%3:00:00::	heterozygous%3:00:00::	having identical alleles at corresponding chromosomal loci	having dissimilar alleles at corresponding chromosomal loci	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
honest	dishonest	a	honest%3:00:00::	dishonest%3:00:00::	not disposed to cheat or defraud; not deceptive or fraudulent	deceptive or fraudulent; disposed to cheat or defraud or deceive	no	affixal	dis-	_	direct	_	no	affixal	dis-	_	direct	_
honorable	dishonorable	a	honorable%3:00:00::	dishonorable%3:00:00::	worthy of being honored; entitled to honor and respect	lacking honor or integrity; deserving dishonor	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
hopeful	hopeless	a	hopeful%3:00:00::	hopeless%3:00:00::	having or manifesting hope	without hope because there seems to be no possibility of comfort or success	no	affixal	-less	-ful	indirect	LAC	_	_	_	_	_	_
horizontal	inclined	a	horizontal%3:00:00::	inclined%3:00:01::	parallel to or in the plane of the horizon or a base line	at an angle to the horizontal or vertical position	no	non-affixal	_	_	_	_	_	_	_	_	_	_
horizontal	vertical	a	horizontal%3:00:00::	vertical%3:00:00::	parallel to or in the plane of the horizon or a base line	at right angles to the plane of the horizon or a base line	no	non-affixal	_	_	_	_	_	_	_	_	_	_
horned	hornless	a	horned%3:00:00::	hornless%3:00:00::	having a horn or horns or hornlike parts or horns of a particular kind	having no horns	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
hospitable	inhospitable	a	hospitable%3:00:02::	inhospitable%3:00:02::	disposed to treat guests and strangers with cordiality and generosity	not hospitable	_	_	_	_	_	_	no	affixal	in-	_	direct	_
hostile	amicable	a	hostile%3:00:01::	amicable%3:00:00::	characterized by enmity or ill will	characterized by friendship and good will	no	non-affixal	_	_	_	_	_	_	_	_	_	_
hot	cold	a	hot%3:00:02::	cold%3:00:02::	extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm	extended meanings; especially of psychological coldness; without human warmth or emotion	_	_	_	_	_	_	no	non-affixal	_	_	_	_
human	nonhuman	a	human%3:00:00::	nonhuman%3:00:00::	having human form or attributes as opposed to those of animals or divine beings	not human; not belonging to or produced by or appropriate to human beings	no	affixal	non-	_	direct	_	_	_	_	_	_	_
humane	inhumane	a	humane%3:00:00::	inhumane%3:00:00::	marked or motivated by concern with the alleviation of suffering	"lacking and reflecting lack of pity or compassion; this explains much of the misery and suffering in the world"""	_	_	_	_	_	_	no	affixal	in-	_	direct	_
humorous	humorless	a	humorous%3:00:00::	humorless%3:00:00::	full of or characterized by humor	"lacking humor; a wink of warning""- Truman Capote"	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
hungry	thirsty	a	hungry%3:00:00::	thirsty%3:00:00::	feeling hunger; feeling a need or desire to eat food	feeling a need or desire to drink	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
hurried	unhurried	a	hurried%3:00:00::	unhurried%3:00:00::	moving rapidly or performed quickly or in great haste	relaxed and leisurely; without hurry or haste	_	_	_	_	_	_	no	affixal	un-	_	direct	_
hydric	mesic	a	hydric%3:00:00::	mesic%3:00:00::	having or characterized by excessive moisture	having or characterized by moderate or a well-balanced supply of moisture	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
hydrophobic	hydrophilic	a	hydrophobic%3:00:00::	hydrophilic%3:00:00::	lacking affinity for water; tending to repel and not absorb water; tending not to dissolve in or mix with or be wetted by water	having a strong affinity for water; tending to dissolve in, mix with, or be wetted by water	_	_	_	_	_	_	no	non-affixal	_	_	_	_
hydrostatic	hydrokinetic	a	hydrostatic%3:01:00::	hydrokinetic%3:01:00::	relating to fluids at rest or to the pressures they exert or transmit	relating to fluids in motion or the forces that produce or affect such motion	_	_	_	_	_	_	no	non-affixal	_	_	_	_
hydrous	anhydrous	a	hydrous%3:00:00::	anhydrous%3:00:00::	containing combined water (especially water of crystallization as in a hydrate)	without water; especially without water of crystallization	no	affixal	an-	_	direct	_	_	_	_	_	_	_
hypertensive	hypotensive	a	hypertensive%3:00:00::	hypotensive%3:00:00::	having abnormally high blood pressure	having abnormally low blood pressure	both	affixal	hypo-	hyper-	indirect	OVA/INS	_	_	_	_	_	_
hypertensive	normotensive	a	hypertensive%3:00:00::	normotensive%3:00:00::	having abnormally high blood pressure	having normal blood pressure	yes	affixal	hyper-	_	indirect	OVA	_	_	_	_	_	_
hypertonic	hypotonic	a	hypertonic%3:00:01::	hypotonic%3:00:01::	(of living tissue) in a state of abnormally high tension	(of living tissue) lacking normal tone or tension	both	affixal	hypo-	hyper-	indirect	OVA/INF	no	non-affixal	_	_	_	_
hypotensive	normotensive	a	hypotensive%3:00:00::	normotensive%3:00:00::	having abnormally low blood pressure	having normal blood pressure	_	_	_	_	_	_	no	non-affixal	_	_	_	_
identifiable	unidentifiable	a	identifiable%3:00:00::	unidentifiable%3:00:00::	capable of being identified	impossible to identify	no	affixal	un-	_	direct	_	_	_	_	_	_	_
idiographic	nomothetic	a	idiographic%3:00:00::	nomothetic%3:00:00::	relating to or involving the study of individuals	relating to or involving the search for abstract universal principles	_	_	_	_	_	_	no	non-affixal	_	_	_	_
igneous	aqueous	a	igneous%3:00:00::	aqueous%3:00:00::	produced by the action of fire or intense heat	produced by the action of water	no	non-affixal	_	_	_	_	_	_	_	_	_	_
imitative	nonimitative	a	imitative%3:00:00::	nonimitative%3:00:00::	marked by or given to imitation	not marked by or given to imitation	no	affixal	non-	_	direct	_	_	_	_	_	_	_
immanent	transeunt	a	immanent%3:00:00::	transeunt%3:00:00::	of a mental act performed entirely within the mind	of a mental act; causing effects outside the mind	_	_	_	_	_	_	no	non-affixal	_	_	_	_
immediate	mediate	a	immediate%3:00:00::	mediate%3:00:00::	having no intervening medium	acting through or dependent on an intervening agency	_	_	_	_	_	_	yes	affixal	im-	_	direct	_
immunocompetent	immunodeficient	a	immunocompetent%3:00:00::	immunodeficient%3:00:00::	capable of developing an immune response following exposure to an antigen	incapable of developing an immune response following exposure to an antigen	no	non-affixal	_	_	_	_	_	_	_	_	_	_
impaired	unimpaired	a	impaired%3:00:00::	unimpaired%3:00:00::	diminished in strength, quality, or utility	not damaged or diminished in any respect	_	_	_	_	_	_	no	affixal	un-	_	direct	_
imperative	beseeching	a	imperative%3:00:00::	beseeching%3:00:00::	requiring attention or action	begging	_	_	_	_	_	_	no	non-affixal	_	_	_	_
important	unimportant	a	important%3:00:00::	unimportant%3:00:00::	of great significance or value	not important	_	_	_	_	_	_	no	affixal	un-	_	direct	_
impressionable	unimpressionable	a	impressionable%3:00:00::	unimpressionable%3:00:00::	easily impressed or influenced	not sensitive or susceptible to impression	_	_	_	_	_	_	no	affixal	un-	_	direct	_
impressive	unimpressive	a	impressive%3:00:00::	unimpressive%3:00:00::	making a strong or vivid impression	not capable of impressing	no	affixal	un-	_	direct	_	_	_	_	_	_	_
improved	unimproved	a	improved%3:00:00::	unimproved%3:00:00::	made more desirable or valuable or profitable; especially made ready for use or marketing	not made more desirable or valuable or profitable; especially not made ready for use or marketing	_	_	_	_	_	_	no	affixal	un-	_	direct	_
in_vitro	in_vivo	a	in_vitro%3:00:00::	in_vivo%3:00:00::	in an artificial environment outside the living organism	within a living organism	no	non-affixal	_	_	_	_	_	_	_	_	_	_
inaugural	exaugural	a	inaugural%3:00:00::	exaugural%3:00:00::	occurring at or characteristic of a formal investiture or induction	occurring at or marking the close of a term of office	no	non-affixal	_	_	_	_	_	_	_	_	_	_
inboard	outboard	a	inboard%3:00:00::	outboard%3:00:00::	located within the hull or nearest the midline of a vessel or aircraft	located away from the midline of a vessel or aircraft	_	_	_	_	_	_	no	affixal	out-	_	indirect	ROD
inbred	outbred	a	inbred%3:00:00::	outbred%3:00:00::	produced by inbreeding	bred of parents not closely related; having parents of different classes or tribes	no	non-affixal	_	_	_	_	_	_	_	_	_	_
inclined	disinclined	a	inclined%3:00:02::	disinclined%3:00:00::	(often followed by `to') having a preference, disposition, or tendency	unwilling because of mild dislike or disapproval	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
incoming	outgoing	a	incoming%3:00:00::	outgoing%3:00:00::	arriving at a place or position	leaving a place or a position	_	_	_	_	_	_	no	affixal	out-	_	indirect	ROA
increased	decreased	a	increased%3:00:00::	decreased%3:00:00::	made greater in size or amount or degree	made less in size or amount or degree	no	affixal	de-	in-	indirect	ROD	_	_	_	_	_	_
increasing	decreasing	a	increasing%3:00:02::	decreasing%3:00:02::	music	music	no	affixal	dis-	in-	indirect	ROD	no	affixal	de-	_	indirect	ROD
inductive	deductive	a	inductive%3:00:00::	deductive%3:00:00::	of reasoning; proceeding from particular facts to a general conclusion	involving inferences from general principles	no	affixal	de-	in-	indirect	ROD	_	_	_	_	_	_
indulgent	nonindulgent	a	indulgent%3:00:00::	nonindulgent%3:00:00::	characterized by or given to yielding to the wishes of someone	characterized by strictness, severity, or restraint	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
industrial	nonindustrial	a	industrial%3:00:00::	nonindustrial%3:00:00::	having highly developed industries	not having highly developed manufacturing enterprises	no	affixal	non-	_	direct	_	no	affixal	non-	_	indirect	OPP
inevitable	evitable	a	inevitable%3:00:00::	evitable%3:00:00::	incapable of being avoided or prevented	capable of being avoided or warded off	yes	affixal	in-	_	direct	_	_	_	_	_	_	_
infectious	noninfectious	a	infectious%3:00:00::	noninfectious%3:00:00::	"easily spread; children catch it from their elders""- Bertrand Russell"	not infectious	no	affixal	non-	_	direct	_	_	_	_	_	_	_
infernal	supernal	a	infernal%3:00:00::	supernal%3:00:00::	being of the underworld	being or coming from on high	no	affixal	super-	_	indirect	OVA	_	_	_	_	_	_
inflationary	deflationary	a	inflationary%3:00:00::	deflationary%3:00:00::	associated with or tending to cause increases in inflation	associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROD
inflected	uninflected	a	inflected%3:00:00::	uninflected%3:00:00::	(of the voice) altered in tone or pitch	(of the voice) not inflected	no	affixal	un-	_	direct	_	_	_	_	_	_	_
inflectional	derivational	a	inflectional%3:00:00::	derivational%3:00:00::	characterized by inflections indicating grammatical distinctions	characterized by inflections indicating a semantic relation between a word and its base	no	non-affixal	_	_	_	_	_	_	_	_	_	_
influential	uninfluential	a	influential%3:00:00::	uninfluential%3:00:00::	having or exercising influence or power	not influential	no	affixal	un-	_	direct	_	_	_	_	_	_	_
informative	uninformative	a	informative%3:00:00::	uninformative%3:00:00::	providing or conveying information	lacking information	_	_	_	_	_	_	no	affixal	un-	_	direct	_
informed	uninformed	a	informed%3:00:00::	uninformed%3:00:00::	having much knowledge or education	not informed; lacking in knowledge or information	_	_	_	_	_	_	no	affixal	un-	_	direct	_
ingenuous	disingenuous	a	ingenuous%3:00:00::	disingenuous%3:00:00::	characterized by an inability to mask your feelings; not devious	not straightforward or candid; giving a false appearance of frankness	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
inhabited	uninhabited	a	inhabited%3:00:00::	uninhabited%3:00:00::	having inhabitants; lived in	not having inhabitants; not lived in	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
inheritable	noninheritable	a	inheritable%3:00:00::	noninheritable%3:00:00::	capable of being inherited	not inheritable	no	affixal	non-	_	direct	_	_	_	_	_	_	_
inhibited	uninhibited	a	inhibited%3:00:00::	uninhibited%3:00:00::	held back or restrained or prevented	not inhibited or restrained	no	affixal	un-	_	direct	_	_	_	_	_	_	_
injectable	uninjectable	a	injectable%3:00:00::	uninjectable%3:00:00::	(used of drugs) capable of being injected	(used of drugs) not capable of being injected	no	affixal	un-	_	direct	_	_	_	_	_	_	_
injured	uninjured	a	injured%3:00:00::	uninjured%3:00:00::	harmed	not injured physically or mentally	_	_	_	_	_	_	no	affixal	un-	_	direct	_
innocent	guilty	a	innocent%3:00:00::	guilty%3:00:00::	free from evil or guilt	responsible for or chargeable with a reprehensible act	no	non-affixal	_	_	_	_	_	_	_	_	_	_
inquiring	uninquiring	a	inquiring%3:00:00::	uninquiring%3:00:00::	given to inquiry	not inquiring	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
inshore	offshore	a	inshore%3:00:00::	offshore%3:00:00::	(of winds) coming from the sea toward the land	(of winds) coming from the land	no	affixal	off-	on-	indirect	ROD	no	affixal	off-	_	indirect	ROD
inspiring	uninspiring	a	inspiring%3:00:00::	uninspiring%3:00:00::	stimulating or exalting to the spirit	depressing to the spirit	_	_	_	_	_	_	no	affixal	un-	_	direct	_
institutional	noninstitutional	a	institutional%3:00:00::	noninstitutional%3:00:00::	organized as or forming an institution	not institutional	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
institutionalized	noninstitutionalized	a	institutionalized%3:00:00::	noninstitutionalized%3:00:00::	officially placed in or committed to a specialized institution	not committed to an institution	no	affixal	non-	_	direct	_	no	affixal	non-	_	indirect	OPP
instructive	uninstructive	a	instructive%3:00:00::	uninstructive%3:00:00::	serving to instruct or enlighten or inform	failing to instruct	no	affixal	un-	_	direct	_	_	_	_	_	_	_
insured	uninsured	a	insured%3:00:00::	uninsured%3:00:00::	covered by insurance	not covered by insurance	_	_	_	_	_	_	no	affixal	un-	_	direct	_
integrated	nonintegrated	a	integrated%3:00:02::	nonintegrated%3:00:00::	formed into a whole or introduced into another entity	not integrated; not taken into or made a part of a whole	no	affixal	non-	_	direct	_	_	_	_	_	_	_
integrated	segregated	a	integrated%3:00:00::	segregated%3:00:00::	not segregated; designated as available to all races or groups	separated or isolated from others or a main group	_	_	_	_	_	_	no	non-affixal	_	_	_	_
integrative	disintegrative	a	integrative%3:00:00::	disintegrative%3:00:00::	combining and coordinating diverse elements into a whole	tending to cause breakup into constituent elements or parts	no	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
intellectual	nonintellectual	a	intellectual%3:00:00::	nonintellectual%3:00:00::	appealing to or using the intellect	not intellectual	no	affixal	non-	_	direct	_	no	affixal	non-	_	indirect	OPP
intelligent	unintelligent	a	intelligent%3:00:00::	unintelligent%3:00:00::	having the capacity for thought and reason especially to a high degree	lacking intelligence	_	_	_	_	_	_	no	affixal	un-	_	direct	_
intelligible	unintelligible	a	intelligible%3:00:00::	unintelligible%3:00:00::	well articulated or enunciated, and loud enough to be heard distinctly	poorly articulated or enunciated, or drowned by noise	_	_	_	_	_	_	no	affixal	un-	_	direct	_
intended	unintended	a	intended%3:00:00::	unintended%3:00:00::	resulting from one's intentions	not deliberate	no	affixal	un-	_	direct	_	_	_	_	_	_	_
intensifying	moderating	a	intensifying%3:00:00::	moderating%3:00:00::	increasing in strength or intensity	lessening in intensity or strength	no	non-affixal	_	_	_	_	_	_	_	_	_	_
intensive	extensive	a	intensive%3:00:00::	extensive%3:00:00::	of agriculture; intended to increase productivity of a fixed area by expending more capital and labor	of agriculture; increasing productivity by using large areas with minimal outlay and labor	no	non-affixal	_	_	_	_	_	_	_	_	_	_
interdepartmental	intradepartmental	a	interdepartmental%3:01:00::	intradepartmental%3:01:00::	between or among departments	within a department	_	_	_	_	_	_	no	affixal	in-	_	direct	_
