pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed	affixal/non-affixal	negative affix	positive affix	direct/indirect	subtype
reversible	irreversible	a	reversible%3:00:00::	irreversible%3:00:00::	capable of reversing or being reversed	incapable of being reversed	no	affixal	ir-		direct	
malfunction	function	v	malfunction%2:35:00::	function%2:35:00::	fail to function or function improperly	perform as expected when applied	yes	affixal	mal-		indirect	WRO
adjusted	maladjusted	a	adjusted%3:00:02::	maladjusted%3:00:00::	adjusted to demands of daily living; showing emotional stability	poorly adjusted to demands and stresses of daily living	no	affixal	mal-		indirect	WRO
adroit	maladroit	a	adroit%3:00:00::	maladroit%3:00:00::	quick or skillful or adept in action or thought	not adroit	no	affixal	mal-		indirect	WRO
adroitly	maladroitly	r	adroitly%4:02:00::	maladroitly%4:02:00::	with adroitness; in an adroit manner	in a maladroit manner	no	affixal	mal-		indirect	WRO
benevolently	malevolently	r	benevolently%4:02:00::	malevolently%4:02:00::	in a benevolent manner	in a malevolent manner	no	affixal	mal-		indirect	WRO
functioning	malfunctioning	a	functioning%3:00:00::	malfunctioning%3:00:00::	performing or able to perform its regular function	not performing or able to perform its regular function	no	affixal	mal-		indirect	WRO
benignancy	malignancy	n	benignancy%1:07:00::	malignancy%1:07:00::	the quality of being kind and gentle	quality of being disposed to evil; intense ill will	no	affixal	mal-		indirect	WRO
nourished	malnourished	a	nourished%3:00:00::	malnourished%3:00:00::	being provided with adequate nourishment	not being provided with adequate nourishment	no	affixal	mal-		indirect	WRO
fragrant	malodorous	a	fragrant%3:00:00::	malodorous%3:00:00::	pleasant-smelling	having an unpleasant smell	no	affixal	mal-		indirect	WRO
good_fortune	misfortune	n	good_fortune%1:26:00::	misfortune%1:26:00::	an auspicious state resulting from favorable outcomes	an unfortunate state resulting from unfavorable outcomes	no	affixal	mis-	good-	indirect	WRO
conception	misconception	n	conception%1:09:00::	misconception%1:09:00::	an abstract or general idea inferred or derived from specific instances	an incorrect conception	no	affixal	mis-		indirect	WRO
construction	misconstruction	n	construction%1:10:01::	misconstruction%1:10:00::	a group of words that form a constituent of a sentence and are considered as a single unit	an ungrammatical constituent	no	affixal	mis-		indirect	WRO
used	misused	a	used%3:00:00::	misused%3:00:00::	employed in accomplishing something	used incorrectly or carelessly or for an improper purpose	no	affixal	mis-		indirect	WRO
go	no-go	a	go%3:00:00::	no-go%3:00:00::	functioning correctly and ready for action	not functioning properly or in suitable condition for proceeding	no	affixal	no-		direct	
nondrinker	drinker	n	nondrinker%1:18:00::	drinker%1:18:00::	a person who refrains from drinking intoxicating beverages	a person who drinks alcoholic beverages (especially to excess)	yes	affixal	non-		direct	
engagement	non-engagement	n	engagement%1:04:00::	non-engagement%1:04:00::	the act of sharing in the activities of a group	withdrawing from the activities of a group	no	affixal	non-		direct	
involvement	non-involvement	n	involvement%1:04:00::	non-involvement%1:04:00::	the act of sharing in the activities of a group	withdrawing from the activities of a group	no	affixal	non-		direct	
market_economy	non-market_economy	n	market_economy%1:14:00::	non-market_economy%1:14:00::	an economy that relies chiefly on market forces to allocate goods and resources and to determine prices	an economy that is not a market economy	no	affixal	non-		direct	
absorbency	nonabsorbency	n	absorbency%1:07:00::	nonabsorbency%1:07:00::	the property of being absorbent	the property of not being absorbent	no	affixal	non-		direct	
addictive	nonaddictive	a	addictive%3:00:00::	nonaddictive%3:00:00::	causing or characterized by addiction	not causing or characterized by addiction	no	affixal	non-		direct	
adhesive	nonadhesive	a	adhesive%3:00:00::	nonadhesive%3:00:00::	tending to adhere	not tending to adhere	no	affixal	non-		direct	
aligned	nonaligned	a	aligned%3:00:01::	nonaligned%3:00:00::	brought into agreement or cooperation on the side of a faction, party, or cause	not affiliated with any faction, party, or cause	no	affixal	non-		direct	
alignment	nonalignment	n	alignment%1:14:00::	nonalignment%1:14:00::	an organization of people (or countries) involved in a pact or treaty	people (or countries) who are not aligned with other people (or countries) in a pact or treaty	no	affixal	non-		direct	
arbitrary	nonarbitrary	a	arbitrary%3:00:00::	nonarbitrary%3:00:00::	based on or subject to individual discretion or preference or sometimes impulse or caprice	not subject to individual determination	no	affixal	non-		direct	
arboreal	nonarboreal	a	arboreal%3:00:00::	nonarboreal%3:00:00::	inhabiting or frequenting trees	not inhabiting or frequenting trees	no	affixal	non-		direct	
astringent	nonastringent	a	astringent%3:00:00::	nonastringent%3:00:00::	tending to draw together or constrict soft organic tissue	not astringent	no	affixal	non-		direct	
attendance	nonattendance	n	attendance%1:04:00::	nonattendance%1:04:00::	the act of being present (at a meeting or event etc.)	the failure to attend	no	affixal	non-		direct	
biodegradable_pollution	nonbiodegradable_pollution	n	biodegradable_pollution%1:26:00::	nonbiodegradable_pollution%1:26:00::	pollution that is rendered harmless by natural processes and so causes no permanent harm	pollution that accumulates in the environment and may appear in the food chain	no	affixal	non-		direct	
citizen	noncitizen	n	citizen%1:18:00::	noncitizen%1:18:00::	a native or naturalized member of a state or other political community	a person who comes from a foreign country; someone who does not owe allegiance to your country	no	affixal	non-		direct	
combustible	noncombustible	a	combustible%3:00:00::	noncombustible%3:00:00::	capable of igniting and burning	not capable of igniting and burning	no	affixal	non-		direct	
commercial	noncommercial	a	commercial%3:00:00::	noncommercial%3:00:00::	connected with or engaged in or sponsored by or used in commerce or commercial enterprises	not connected with or engaged in commercial enterprises	no	affixal	non-		direct	
commissioned	noncommissioned	a	commissioned%3:00:00::	noncommissioned%3:00:00::	(of military officers) holding by virtue of a commission a rank of second lieutenant or ensign or above	(of military officers) appointed from enlisted personnel	no	affixal	non-		direct	
competitive	noncompetitive	a	competitive%3:00:00::	noncompetitive%3:00:00::	involving competition or competitiveness	not involving competition or competitiveness	no	affixal	non-		direct	
competitively	noncompetitively	r	competitively%4:02:00::	noncompetitively%4:02:00::	in competition	in a noncompetitive manner	no	affixal	non-		direct	
comprehensive	noncomprehensive	a	comprehensive%3:00:00::	noncomprehensive%3:00:00::	including all or everything	not comprehensive	no	affixal	non-		direct	
conductive	nonconductive	a	conductive%3:00:00::	nonconductive%3:00:00::	having the quality or power of conducting heat or electricity or sound; exhibiting conductivity	not able to conduct heat or electricity or sound	no	affixal	non-		direct	
conformist	nonconformist	n	conformist%1:18:00::	nonconformist%1:18:00::	someone who conforms to established standards of conduct (especially in religious matters)	someone who refuses to conform to established standards of conduct	no	affixal	non-		direct	
conformity	nonconformity	n	conformity%1:09:00::	nonconformity%1:09:00::	orthodoxy in thoughts and belief	a lack of orthodoxy in thoughts or beliefs	no	affixal	non-		direct	
disposable	nondisposable	a	disposable%3:00:02::	nondisposable%3:00:02::	free or available for use or disposition	(of assets) unavailable for use	no	affixal	non-		direct	
equivalence	nonequivalence	n	equivalence%1:07:02::	nonequivalence%1:07:00::	essential equality and interchangeability	not interchangeable	no	affixal	non-		direct	
existence	nonexistence	n	existence%1:26:00::	nonexistence%1:26:00::	the state or fact of existing	the state of not existing	no	affixal	non-		direct	
existent	nonexistent	a	existent%3:00:00::	nonexistent%3:00:00::	having existence or being or actuality	not having existence or being or actuality	no	affixal	non-		direct	
exploratory	nonexploratory	a	exploratory%3:00:00::	nonexploratory%3:00:00::	serving in or intended for exploration or discovery	not exploratory	no	affixal	non-		direct	
explosive	nonexplosive	a	explosive%3:00:00::	nonexplosive%3:00:00::	serving to explode or characterized by explosion or sudden outburst	not explosive	no	affixal	non-		direct	
fatty	nonfat	a	fatty%3:00:00::	nonfat%3:00:00::	containing or composed of fat	without fat or fat solids	no	affixal	non-		direct	
fictional	nonfictional	a	fictional%3:01:00::	nonfictional%3:01:00::	related to or involving literary fiction	not fictional	no	affixal	non-		direct	
fissile	nonfissile	a	fissile%3:00:00::	nonfissile%3:00:00::	capable of being split or cleft or divided in the direction of the grain	not fissile	no	affixal	non-		direct	
human	nonhuman	a	human%3:00:00::	nonhuman%3:00:00::	having human form or attributes as opposed to those of animals or divine beings	not human; not belonging to or produced by or appropriate to human beings	no	affixal	non-		direct	
imitative	nonimitative	a	imitative%3:00:00::	nonimitative%3:00:00::	marked by or given to imitation	not marked by or given to imitation	no	affixal	non-		direct	
industrial	nonindustrial	a	industrial%3:00:00::	nonindustrial%3:00:00::	having highly developed industries	not having highly developed manufacturing enterprises	no	affixal	non-		direct	
infectious	noninfectious	a	infectious%3:00:00::	noninfectious%3:00:00::	"easily spread; children catch it from their elders""- Bertrand Russell"	not infectious	no	affixal	non-		direct	
inheritable	noninheritable	a	inheritable%3:00:00::	noninheritable%3:00:00::	capable of being inherited	not inheritable	no	affixal	non-		direct	
institutionalized	noninstitutionalized	a	institutionalized%3:00:00::	noninstitutionalized%3:00:00::	officially placed in or committed to a specialized institution	not committed to an institution	no	affixal	non-		direct	
integrated	nonintegrated	a	integrated%3:00:02::	nonintegrated%3:00:00::	formed into a whole or introduced into another entity	not integrated; not taken into or made a part of a whole	no	affixal	non-		direct	
intellectual	nonintellectual	a	intellectual%3:00:00::	nonintellectual%3:00:00::	appealing to or using the intellect	not intellectual	no	affixal	non-		direct	
intervention	nonintervention	n	intervention%1:10:00::	nonintervention%1:10:00::	a policy of intervening in the affairs of other countries	a foreign policy of staying out of other countries' disputes	no	affixal	non-		direct	
invasive	noninvasive	a	invasive%3:00:01::	noninvasive%3:00:00::	relating to a technique in which the body is entered by puncture or incision	relating to a technique that does not involve puncturing the skin or entering a body cavity	no	affixal	non-		direct	
ionic	nonionic	a	ionic%3:01:00::	nonionic%3:01:00::	containing or involving or occurring in the form of ions	not ionic	no	affixal	non-		direct	
ionized	nonionized	a	ionized%3:00:00::	nonionized%3:00:00::	converted totally or partly into ions	not converted into ions	no	affixal	non-		direct	
linguistic	nonlinguistic	a	linguistic%3:01:00::	nonlinguistic%3:01:00::	consisting of or related to language	not consisting of or related to language	no	affixal	non-		direct	
magnetic	nonmagnetic	a	magnetic%3:00:03::	nonmagnetic%3:00:00::	capable of being magnetized	not capable of being magnetized	no	affixal	non-		direct	
member	nonmember	n	member%1:18:00::	nonmember%1:18:00::	one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)	a person who is not a member	no	affixal	non-		direct	
modern	nonmodern	a	modern%3:00:00::	nonmodern%3:00:00::	belonging to the modern era; since the Middle Ages	not modern; of or characteristic of an earlier time	no	affixal	non-		direct	
monotonic	nonmonotonic	a	monotonic%3:00:00::	nonmonotonic%3:00:00::	of a sequence or function; consistently increasing and never decreasing or consistently decreasing and never increasing in value	not monotonic	no	affixal	non-		direct	
moving	nonmoving	a	moving%3:00:02::	nonmoving%3:00:00::	in motion	not in motion	no	affixal	non-		direct	
native	nonnative	a	native%3:00:02::	nonnative%3:00:00::	characteristic of or relating to people inhabiting a region from the beginning	not being or composed of aborigines	no	affixal	non-		direct	
observance	nonobservance	n	observance%1:04:02::	nonobservance%1:04:00::	conformity with law or custom or practice etc.	a lack of conformity with law or custom or practice etc.	no	affixal	non-		direct	
operational	nonoperational	a	operational%3:00:00::	nonoperational%3:00:00::	(military) of or intended for or involved in military operations	(military) not involved in military operations	no	affixal	non-		direct	
participation	nonparticipation	n	participation%1:04:00::	nonparticipation%1:04:00::	the act of sharing in the activities of a group	withdrawing from the activities of a group	no	affixal	non-		direct	
particulate	nonparticulate	a	particulate%3:00:00::	nonparticulate%3:00:00::	composed of distinct particles	not composed of distinct particles	no	affixal	non-		direct	
passerine	nonpasserine	a	passerine%3:01:00::	nonpasserine%3:01:00::	relating to or characteristic of the passeriform birds	relating to or characteristic of birds that are not perching birds	no	affixal	non-		direct	
photosynthetic	nonphotosynthetic	a	photosynthetic%3:01:00::	nonphotosynthetic%3:01:00::	relating to or using or formed by photosynthesis	not photosynthetic	no	affixal	non-		direct	
political	nonpolitical	a	political%3:00:00::	nonpolitical%3:00:00::	involving or characteristic of politics or parties or politicians	not political	no	affixal	non-		direct	
porous	nonporous	a	porous%3:00:00::	nonporous%3:00:00::	full of pores or vessels or holes	not porous; especially not having vessels that appear as pores	no	affixal	non-		direct	
prehensile	nonprehensile	a	prehensile%3:00:00::	nonprehensile%3:00:00::	adapted for grasping especially by wrapping around an object	not prehensile	no	affixal	non-		direct	
prescription	nonprescription	a	prescription%3:00:00::	nonprescription%3:00:00::	available only with a doctor's written prescription	purchasable without a doctor's prescription	no	affixal	non-		direct	
professional	nonprofessional	a	professional%3:00:01::	nonprofessional%3:00:00::	engaged in a profession or engaging in as a profession or means of livelihood	not professional; not engaged in a profession or engaging in as a profession or for gain	no	affixal	non-		direct	
psychoactive	nonpsychoactive	a	psychoactive%3:00:00::	nonpsychoactive%3:00:00::	affecting the mind or mood or other mental processes	not affecting the mind or mental processes	no	affixal	non-		direct	
racial	nonracial	a	racial%3:00:00::	nonracial%3:00:00::	of or characteristic of race or races or arising from differences among groups	not racial; having nothing to do with race or races	no	affixal	non-		direct	
random	nonrandom	a	random%3:00:00::	nonrandom%3:00:00::	lacking any definite plan or order or purpose; governed by or depending on chance	not random	no	affixal	non-		direct	
reciprocal	nonreciprocal	a	reciprocal%3:00:00::	nonreciprocal%3:00:00::	concerning each of two or more persons or things; especially given or done in return	not reciprocal	no	affixal	non-		direct	
reflective	nonreflective	a	reflective%3:00:00::	nonreflective%3:00:00::	capable of physically reflecting light or sound	not capable of physical reflection	no	affixal	non-		direct	
repetitive	nonrepetitive	a	repetitive%3:00:00::	nonrepetitive%3:00:00::	characterized by repetition	marked by the absence of repetition	no	affixal	non-		direct	
resident	nonresident	n	resident%1:18:00::	nonresident%1:18:00::	someone who lives at a particular place for a prolonged period or who was born there	someone who does not live in a particular place	no	affixal	non-		direct	
residential	nonresidential	a	residential%3:00:00::	nonresidential%3:00:00::	used or designed for residence or limited to residences	not residential	no	affixal	non-		direct	
reticulate	nonreticulate	a	reticulate%3:00:00::	nonreticulate%3:00:00::	resembling or forming a network	not resembling or forming a network	no	affixal	non-		direct	
returnable	nonreturnable	a	returnable%3:00:00::	nonreturnable%3:00:00::	that may be returned	that may not be returned	no	affixal	non-		direct	
rigid	nonrigid	a	rigid%3:00:00::	nonrigid%3:00:00::	designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure	designating an airship having a shape maintained only by internal gas pressure and without a supporting structure	no	affixal	non-		direct	
ruminant	nonruminant	a	ruminant%3:01:00::	nonruminant%3:01:00::	related to or characteristic of animals of the suborder Ruminantia or any other animal that chews a cud	not ruminant	no	affixal	non-		direct	
sectarian	nonsectarian	a	sectarian%3:00:00::	nonsectarian%3:00:00::	belonging to or characteristic of a sect	not restricted to one sect or school or party	no	affixal	non-		direct	
significant	nonsignificant	a	significant%3:00:01::	nonsignificant%3:00:00::	too closely correlated to be attributed to chance and therefore indicating a systematic relation	attributable to chance	no	affixal	non-		direct	
spatial	nonspatial	a	spatial%3:01:00::	nonspatial%3:01:00::	pertaining to or involving or having the nature of space	not spatial	no	affixal	non-		direct	
speaking	nonspeaking	a	speaking%3:00:00::	nonspeaking%3:00:00::	capable of or involving speech or speaking	not capable of or especially not involving speech or spoken lines	no	affixal	non-		direct	
spherical	nonspherical	a	spherical%3:01:00::	nonspherical%3:01:00::	of or relating to spheres or resembling a sphere	not spherical	no	affixal	non-		direct	
steroidal	nonsteroidal	a	steroidal%3:01:00::	nonsteroidal%3:01:00::	of or relating to steroid hormones or their effects	not steroidal or not having the effects of steroid hormones	no	affixal	non-		direct	
syllabic	nonsyllabic	a	syllabic%3:00:00::	nonsyllabic%3:00:00::	consisting of a syllable or syllables	not forming a syllable or the nucleus of a syllable; consisting of a consonant sound accompanied in the same syllable by a vowel sound or consisting of a vowel sound dominated by other vowel sounds in a syllable (as the second vowel in a falling diphthong)	no	affixal	non-		direct	
taxable	nontaxable	a	taxable%3:00:00::	nontaxable%3:00:00::	(of goods or funds) subject to taxation	(of goods or funds) not subject to taxation	no	affixal	non-		direct	
technical	nontechnical	a	technical%3:00:00::	nontechnical%3:00:00::	characterizing or showing skill in or specialized knowledge of applied arts and sciences	not characteristic of or skilled in applied arts and sciences	no	affixal	non-		direct	
thermal	nonthermal	a	thermal%3:01:00::	nonthermal%3:01:00::	relating to or associated with heat	not involving heat	no	affixal	non-		direct	
traditional	nontraditional	a	traditional%3:00:00::	nontraditional%3:00:00::	consisting of or derived from tradition	not conforming to or in accord with tradition	no	affixal	non-		direct	
violent	nonviolent	a	violent%3:00:00::	nonviolent%3:00:00::	acting with or marked by or resulting from great force or energy or emotional intensity	abstaining (on principle) from the use of violence	no	affixal	non-		direct	
washable	nonwashable	a	washable%3:00:00::	nonwashable%3:00:00::	capable of being washed without injury	not washable	no	affixal	non-		direct	
woody	nonwoody	a	woody%3:00:00::	nonwoody%3:00:00::	made of or containing or resembling wood	not woody; not consisting of or resembling wood	no	affixal	non-		direct	
nonsingular_matrix	singular_matrix	n	nonsingular_matrix%1:14:00::	singular_matrix%1:14:00::	a square matrix whose determinant is not zero	a square matrix whose determinant is zero	yes	affixal	non-		direct	
nonsmoker	smoker	n	nonsmoker%1:18:00::	smoker%1:18:00::	a person who does not smoke tobacco	a person who smokes tobacco	yes	affixal	non-		direct	
nontranslational	translational	a	nontranslational%3:01:00::	translational%3:01:00::	of or relating to movement that is not uniform or not without rotation	of or relating to uniform movement without rotation	yes	affixal	non-		direct	
nonvolatile_storage	volatile_storage	n	nonvolatile_storage%1:06:00::	volatile_storage%1:06:00::	computer storage that is not lost when the power is turned off	computer storage that is erased when the power is turned off	yes	affixal	non-		direct	
nonworker	worker	n	nonworker%1:18:00::	worker%1:18:00::	a person who does nothing	a person who works at a specific occupation	yes	affixal	non-		direct	
non-proliferation	proliferation	n	non-proliferation%1:04:00::	proliferation%1:22:01::	the prevention of something increasing or spreading (especially the prevention of an increase in the number of countries possessing nuclear weapons)	a rapid increase in number (especially a rapid increase in the number of deadly weapons)	yes	affixal	non-		direct	
nonproliferation	proliferation	n	nonproliferation%1:04:00::	proliferation%1:22:01::	the prevention of something increasing or spreading (especially the prevention of an increase in the number of countries possessing nuclear weapons)	a rapid increase in number (especially a rapid increase in the number of deadly weapons)	yes	affixal	non-		direct	
on-line	off-line	a	on-line%3:00:02::	off-line%3:00:02::	on a regular route of a railroad or bus or airline system	not on a regular route of a transportation system	no	affixal	off-	on-	direct	
off-street	on-street	a	off-street%3:00:00::	on-street%3:00:00::	not on the streets	at the sides of streets	yes	affixal	off-	on-	direct	
offstage	onstage	a	offstage%3:00:00::	onstage%3:00:00::	situated or taking place in the area of a stage not visible to the audience	situated or taking place on the area of a stage visible to the audience	yes	affixal	off-	on-	direct	
inshore	offshore	a	inshore%3:00:00::	offshore%3:00:00::	(of winds) coming from the sea toward the land	(of winds) coming from the land	no	affixal	off-	on-	indirect	ROD
on-site	off-site	a	on-site%3:00:00::	off-site%3:00:00::	taking place or located at the site	taking place or located away from the site	no	affixal	on-	off-	direct	
onside	offside	a	onside%3:00:00::	offside%3:00:00::	not offside; being within the prescribed area of play	illegally beyond a prescribed line or area or ahead of the ball or puck	no	affixal	on-	off-	direct	
intrusive	extrusive	a	intrusive%3:00:03::	extrusive%3:00:00::	of rock material; forced while molten into cracks between layers of other rock	of rock material; forced out while molten through cracks in the earth's surface	no	affixal	out-	in-	indirect	ROD
regulation_time	overtime	n	regulation_time%1:28:00::	overtime%1:28:00::	(sports) the normal prescribed duration of a game	playing time beyond regulation, to break a tie	no	affixal	over-		indirect	OVA
normal	paranormal	a	normal%3:00:02::	paranormal%3:00:00::	in accordance with scientific laws	not in accordance with scientific laws	no	affixal	para-		indirect	OVA
concealing	revealing	a	concealing%3:00:00::	revealing%3:00:00::	covering or hiding	showing or making known	no	affixal	re-	con-	indirect	ROA
artesian	subartesian	a	artesian%3:00:00::	subartesian%3:00:00::	(of water) rising to the surface under internal hydrostatic pressure	(of water) rising naturally in a well to a height appreciably above that of the surrounding water table but not flowing out of the well	no	affixal	sub-		indirect	INS
sonic	subsonic	a	sonic%3:00:00::	subsonic%3:00:00::	(of speed) having or caused by speed approximately equal to that of sound in air at sea level	(of speed) less than that of sound in a designated medium	no	affixal	sub-		indirect	INS
subtraction	addition	n	subtraction%1:04:00::	addition%1:04:02::	the act of subtracting (removing a part from the whole)	the act of adding one thing to another	no	affixal	sub-		indirect	LAC
subsurface	overhead	a	subsurface%3:00:00::	overhead%3:00:00::	beneath the surface	located or originating from above	both	affixal	sub-	over-	indirect	INS/OVA
superjacent	subjacent	a	superjacent%3:00:00::	subjacent%3:00:00::	lying immediately above or on something else	lying nearby but lower	both	affixal	sub-	super-	indirect	INS/OVA
infernal	supernal	a	infernal%3:00:00::	supernal%3:00:00::	being of the underworld	being or coming from on high	no	affixal	super-		indirect	OVA
natural	supernatural	a	natural%3:00:03::	supernatural%3:00:00::	existing in or in conformity with nature or the observable world; neither supernatural nor magical	not existing in nature or subject to explanation according to natural laws; not physical or material	no	affixal	super-		indirect	OVA
sonic	supersonic	a	sonic%3:00:00::	supersonic%3:00:00::	(of speed) having or caused by speed approximately equal to that of sound in air at sea level	(of speed) greater than the speed of sound in a given medium (especially air)	no	affixal	super-		indirect	OVA
categorem	syncategorem	n	categorem%1:10:00::	syncategorem%1:10:00::	a categorematic expression; a term capable of standing alone as the subject or predicate of a logical proposition	a syncategorematic expression; a word that cannot be used alone as a term in a logical proposition	no	affixal	syn-		direct	
categorematic	syncategorematic	a	categorematic%3:00:00::	syncategorematic%3:00:00::	of a term or phrase capable of standing as the subject or (especially) the predicate of a proposition	of a term that cannot stand as the subject or (especially) the predicate of a proposition but must be used in conjunction with other terms	no	affixal	syn-		direct	
categoreme	syncategoreme	n	categoreme%1:10:00::	syncategoreme%1:10:00::	a categorematic expression; a term capable of standing alone as the subject or predicate of a logical proposition	a syncategorematic expression; a word that cannot be used alone as a term in a logical proposition	no	affixal	syn-		direct	
wired	wireless	a	wired%3:00:00::	wireless%3:00:00::	equipped with wire or wires especially for electric or telephone service	having no wires	no	affixal	un-	-ed	indirect	LAC
concern	unconcern	n	concern%1:12:00::	unconcern%1:12:00::	a feeling of sympathy for someone or something	a feeling of lack of concern	no	affixal	un-		indirect	LAC
creativeness	uncreativeness	n	creativeness%1:09:00::	uncreativeness%1:09:00::	the ability to create	a lack of creativity	no	affixal	un-		indirect	LAC
unaffectedness	affectedness	n	unaffectedness%1:07:00::	affectedness%1:07:00::	not affected; a personal manner that is not consciously constrained	the quality of being false or artificial (as to impress others)	yes	affixal	un-		direct	
anastigmatic	astigmatic	a	anastigmatic%3:00:00::	astigmatic%3:00:00::	not astigmatic	of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images	yes	affixal	un-		direct	
uncomplainingly	complainingly	r	uncomplainingly%4:02:00::	complainingly%4:02:00::	without complaining	with complaints	yes	affixal	un-		direct	
uncompromising	compromising	a	uncompromising%3:00:00::	compromising%3:00:00::	not making concessions	making or willing to make concessions	yes	affixal	un-		direct	
unequivocalness	equivocalness	n	unequivocalness%1:07:00::	equivocalness%1:07:00::	clarity achieved by the avoidance of ambiguity	unclearness by virtue of having more than one meaning	yes	affixal	un-		direct	
unhesitatingly	hesitantly	r	unhesitatingly%4:02:00::	hesitantly%4:02:00::	without hesitation	with hesitation; in a hesitant manner	yes	affixal	un-		direct	
unpretentiousness	pretentiousness	n	unpretentiousness%1:07:00::	pretentiousness%1:07:00::	the quality of being natural and without pretensions	the quality of being pretentious (behaving or speaking in such a manner as to create a false appearance of great importance or worth)	yes	affixal	un-		direct	
unremarkably	remarkably	r	unremarkably%4:02:00::	remarkably%4:02:00::	under normal conditions	to a remarkable degree or extent	yes	affixal	un-		direct	
unstableness	stableness	n	unstableness%1:07:00::	stableness%1:07:00::	the quality or attribute of being unstable and irresolute	the quality or attribute of being firm and steadfast	yes	affixal	un-		direct	
unsteadily	steadily	r	unsteadily%4:02:00::	steadily%4:02:00::	in an unsteady manner	in a steady manner	yes	affixal	un-		direct	
unsusceptibility	susceptibility	n	unsusceptibility%1:26:00::	susceptibility%1:26:00::	the state of not being susceptible	the state of being susceptible; easily affected	yes	affixal	un-		direct	
able	unable	a	able%3:00:00::	unable%3:00:00::	(usually followed by `to') having the necessary means or skill or know-how or authority to do something	(usually followed by `to') not having the necessary means or skill or know-how	no	affixal	un-		direct	
abused	unabused	a	abused%3:00:01::	unabused%3:00:01::	subjected to cruel treatment	not physically abused; treated properly	no	affixal	un-		direct	
acceptability	unacceptability	n	acceptability%1:07:00::	unacceptability%1:07:00::	satisfactoriness by virtue of conforming to approved standards	unsatisfactoriness by virtue of not conforming to approved standards	no	affixal	un-		direct	
accommodating	unaccommodating	a	accommodating%3:00:00::	unaccommodating%3:00:00::	helpful in bringing about a harmonious adaptation	not accommodating	no	affixal	un-		direct	
actable	unactable	a	actable%3:00:00::	unactable%3:00:00::	capable of being acted; suitable for the stage	not actable	no	affixal	un-		direct	
adaptability	unadaptability	n	adaptability%1:07:00::	unadaptability%1:07:00::	the ability to change (or be changed) to fit changed circumstances	the inability to change or be changed to fit changed circumstances	no	affixal	un-		direct	
adaptable	unadaptable	a	adaptable%3:00:00::	unadaptable%3:00:00::	capable of adapting (of becoming or being made suitable) to a particular situation or use	not adaptable	no	affixal	un-		direct	
addicted	unaddicted	a	addicted%3:00:00::	unaddicted%3:00:00::	compulsively or physiologically dependent on something habit-forming	not addicted	no	affixal	un-		direct	
adorned	unadorned	a	adorned%3:00:00::	unadorned%3:00:00::	provided with something intended to increase its beauty or distinction	not decorated with something to increase its beauty or distinction	no	affixal	un-		direct	
adventurous	unadventurous	a	adventurous%3:00:00::	unadventurous%3:00:00::	willing to undertake or seeking out new and daring enterprises	lacking in boldness	no	affixal	un-		direct	
affected	unaffected	a	affected%3:00:01::	unaffected%3:00:01::	speaking or behaving in an artificial way to make an impression	free of artificiality; sincere and genuine	no	affixal	un-		direct	
afraid	unafraid	a	afraid%3:00:00::	unafraid%3:00:00::	filled with fear or apprehension	oblivious of dangers or perils or calmly resolute in facing them	no	affixal	un-		direct	
aggressive	unaggressive	a	aggressive%3:00:00::	unaggressive%3:00:00::	"having or showing determination and energetic pursuit of your ends; positive in his convictions"""	not aggressive; not given to fighting or assertiveness	no	affixal	un-		direct	
airworthy	unairworthy	a	airworthy%3:00:00::	unairworthy%3:00:00::	(of aircraft) fit to fly	not fit to fly	no	affixal	un-		direct	
alert	unalert	a	alert%3:00:00::	unalert%3:00:00::	engaged in or accustomed to close observation	not alert to what is potentially dangerous	no	affixal	un-		direct	
alike	unalike	a	alike%3:00:00::	unalike%3:00:00::	having the same or similar characteristics	not alike or similar	no	affixal	un-		direct	
alterability	unalterability	n	alterability%1:07:00::	unalterability%1:07:00::	the quality of being alterable	the quality of not being alterable	no	affixal	un-		direct	
altered	unaltered	a	altered%3:00:00::	unaltered%3:00:00::	changed in form or character without becoming something else	remaining in an original state	no	affixal	un-		direct	
ambiguous	unambiguous	a	ambiguous%3:00:00::	unambiguous%3:00:00::	having more than one possible meaning	having or exhibiting a single clearly defined meaning	no	affixal	un-		direct	
ambiguously	unambiguously	r	ambiguously%4:02:00::	unambiguously%4:02:01::	in an ambiguous manner	in an unambiguous manner	no	affixal	un-		direct	
ambitiously	unambitiously	r	ambitiously%4:02:00::	unambitiously%4:02:00::	with ambition; in an ambitious and energetic manner	in an unambitious manner	no	affixal	un-		direct	
amended	unamended	a	amended%3:00:00::	unamended%3:00:00::	of legislation	(of legislation) not amended	no	affixal	un-		direct	
analyzed	unanalyzed	a	analyzed%3:00:00::	unanalyzed%3:00:00::	examined carefully and methodically; broken down for consideration of constituent parts	not analyzed or broken down for detailed examination	no	affixal	un-		direct	
apologetic	unapologetic	a	apologetic%3:00:00::	unapologetic%3:00:00::	offering or expressing apology	unwilling to make or express an apology	no	affixal	un-		direct	
appealing	unappealing	a	appealing%3:00:00::	unappealing%3:00:00::	able to attract interest or draw favorable attention	not able to attract favorable attention	no	affixal	un-		direct	
